question,status,failure_reasons
Which articles have the highest comment volume and what is their average comment sentiment?,fail,Execution: Query execution failed — the database may be unavailable.
How many keywords are associated with articles published after 2025-01-01?,partial,Answer: no result values found in answer text
Show low-engagement articles with fewer than 5 comments and average sentiment below 0.2.,fail,Execution: Query execution failed — the database may be unavailable.
Which keywords appear in the most articles and have the highest average comment sentiment?,pass,
For the keyword 'climate change'  how many unique contributors commented on related articles?,fail,Execution: Query execution failed — the database may be unavailable.
Who are the top contributors by comment count?,pass,
Which contributors have the highest average sentiment and at least 20 comments?,pass,
List the most recent ingestion errors by stage and error type.,pass,
Find ingestion errors for a specific data item ID 'article-12345'.,partial,Answer: no result values found in answer text
What is the total number of comments across all articles?,partial,Answer: no result values found in answer text
Which articles have more than 10 keywords associated?,pass,
Show articles with the highest total replies.,fail,Execution: Query execution failed — the database may be unavailable.
What is the average sentiment for articles published in 2025?,partial,Answer: no result values found in answer text
Which keywords have the lowest average comment sentiment?,fail,Execution: Query execution failed — the database may be unavailable.
How many articles are associated with each keyword?,fail,Execution: Query execution failed — the database may be unavailable.
Which keywords have more than 100 comments?,pass,
Show contributors with the most distinct articles commented on.,pass,
Which contributors have negative average sentiment?,partial,Answer: no result values found in answer text
What is the total number of replies for top contributors?,partial,Answer: no result values found in answer text
List ingestion errors from the last 7 days.,pass,
Which stages have the most ingestion errors?,pass,
Show articles with publication date in the last month.,pass,
Which articles have no comments?,pass,
What is the average keyword count per article?,partial,Metrics: missing ['AVG(KEYWORD_COUNT)']; Answer: no result values found in answer text
Which keywords have the highest contributor count?,pass,
Show contributors with comment count between 10 and 50.,pass,
List all ingestion errors with error type 'validation'.,partial,Answer: no result values found in answer text
How many keywords have no associated comments?,partial,Answer: no result values found in answer text
Show top contributors by total replies.,pass,
What are the most common error types in ingestion?,pass,
Which articles were inserted in the last week?,pass,
Show keywords with average sentiment above 0.5.,partial,Answer: no result values found in answer text
Which contributors have commented on more than 20 distinct articles?,pass,
List ingestion errors with messages containing 'timeout'.,partial,Answer: no result values found in answer text
What is the total keyword count across all articles?,partial,Answer: no result values found in answer text
Which keywords have the most comments?,pass,
Show contributors with average sentiment between 0.1 and 0.3.,partial,Answer: no result values found in answer text
How many ingestion errors occurred in each stage?,pass,
Which articles have the oldest publication dates?,pass,
Show keywords with article count less than 5.,pass,
Which contributors have the lowest comment count?,pass,
List ingestion errors attempted after a specific date.,fail,Execution: Query execution failed — the database may be unavailable.
What is the maximum comment count for any article?,partial,Answer: no result values found in answer text
Which keywords have contributor count greater than 50?,pass,
Show contributors with total replies less than 10.,pass,
How many ingestion errors have error type 'network'?,pass,
Which articles have publication date in 2024?,partial,Answer: no result values found in answer text
Show keywords ordered by average sentiment descending.,pass,
Which contributors have distinct article count equal to 1?,pass,
List ingestion errors with stage 'extraction'.,partial,Answer: no result values found in answer text
What will article engagement look like next quarter?,pass,
Why do some articles generate more comments than others?,pass,
Show me the stock price for articles published today,pass,
INSERT not allowed,pass,
DDL not allowed,pass,
Raw dbo.* table access not allowed,pass,
Missing TOP/LIMIT clause,pass,
DML not allowed,pass,
Exceeds row limit,pass,
Multi-statement query not allowed,pass,
