question,status,failure_reasons
Which articles have the highest comment volume and what is their average comment sentiment?,pass,
How many keywords are associated with articles published after 2025-01-01?,pass,
Show low-engagement articles with fewer than 5 comments and average sentiment below 0.2.,pass,
Which keywords appear in the most articles and have the highest average comment sentiment?,pass,
For the keyword 'climate change'  how many unique contributors commented on related articles?,pass,
Who are the top contributors by comment count?,pass,
Which contributors have the highest average sentiment and at least 20 comments?,pass,
List the most recent ingestion errors by stage and error type.,pass,
Find ingestion errors for a specific data item ID 'article-12345'.,pass,
What is the total number of comments across all articles?,pass,
Which articles have more than 10 keywords associated?,pass,
Show articles with the highest total replies.,pass,
What is the average sentiment for articles published in 2025?,pass,
Which keywords have the lowest average comment sentiment?,pass,
How many articles are associated with each keyword?,pass,
Which keywords have more than 100 comments?,pass,
Show contributors with the most distinct articles commented on.,pass,
Which contributors have negative average sentiment?,pass,
What is the total number of replies for top contributors?,pass,
List ingestion errors from the last 7 days.,pass,
Which stages have the most ingestion errors?,pass,
Show articles with publication date in the last month.,pass,
Which articles have no comments?,pass,
What is the average keyword count per article?,pass,
Which keywords have the highest contributor count?,pass,
Show contributors with comment count between 10 and 50.,pass,
List all ingestion errors with error type 'validation'.,pass,
How many keywords have no associated comments?,pass,
Show top contributors by total replies.,pass,
What are the most common error types in ingestion?,pass,
Which articles were inserted in the last week?,pass,
Show keywords with average sentiment above 0.5.,pass,
Which contributors have commented on more than 20 distinct articles?,pass,
List ingestion errors with messages containing 'timeout'.,pass,
What is the total keyword count across all articles?,pass,
Which keywords have the most comments?,pass,
Show contributors with average sentiment between 0.1 and 0.3.,pass,
How many ingestion errors occurred in each stage?,pass,
Which articles have the oldest publication dates?,pass,
Show keywords with article count less than 5.,pass,
Which contributors have the lowest comment count?,pass,
List ingestion errors attempted after a specific date.,pass,
What is the maximum comment count for any article?,pass,
Which keywords have contributor count greater than 50?,pass,
Show contributors with total replies less than 10.,pass,
How many ingestion errors have error type 'network'?,pass,
Which articles have publication date in 2024?,pass,
Show keywords ordered by average sentiment descending.,pass,
Which contributors have distinct article count equal to 1?,pass,
List ingestion errors with stage 'extraction'.,pass,
What will article engagement look like next quarter?,pass,
Why do some articles generate more comments than others?,pass,
Show me the stock price for articles published today,pass,
INSERT not allowed,pass,
DDL not allowed,pass,
Raw dbo.* table access not allowed,pass,
Missing TOP/LIMIT clause,pass,
DML not allowed,pass,
Exceeds row limit,pass,
Multi-statement query not allowed,pass,
